"sf__Id","sf__Error",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","生和コーポレーション株式会社(西日本支社)","1800000.0","","001RB00001VTqmcYAD","","","","","","150000.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","日鉄興和不動産株式会社","2340000.0","","001RB00001VTrnKYAT","","","2026-02-13","","","195000.0","2026-01-06","","決済手続/稟議中","2026-02-12","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","相鉄アーバンクリエイツ　西口事業部 の取引","105600.0","","001RB00001VTqs2YAD","003RB00001NsWwjYAF","","","","","8800.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 初回お打ち合わせ完了:StageName__c --","日本社宅サービス株式会社","0.0","","001RB00001VTqvSYAT","003RB00001NsUcsYAF","","","","","0.0","","","初回お打ち合わせ完了","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","株式会社JPMC","0.0","","001RB00001VTqoXYAT","","","","","","0.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","森ビル株式会社 の取引","105600.0","","001RB00001VTqWFYA1","003RB00001NsVhqYAF","","2026-03-01","","","8800.0","","","決済手続/稟議中","2026-03-12","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 顧客の疑問や不安を解消できていない:LostReason__c --","三弘建築事務所株式会社","672000.0","","001RB00001VTqxpYAD","","","2026-03-01","2026-05-21","顧客の疑問や不安を解消できていない","56000.0","","","導入意向の確認中","2026-05-21","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 他社と契約済み:LostReason__c --","株式会社大阪ガスファシリティーズ の取引","0.0","","001RB00001VTqxqYAD","003RB00001NsVhrYAF","","","2026-01-21","他社と契約済み","0.0","","","打ち合わせセッティング完了","2026-01-21","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","TR-Archi Office の取引","0.0","","001RB00001VTqnPYAT","","","","","","0.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 提案作成済み:StageName__c --","東急建設株式会社","0.0","","001RB00001VTrseYAD","","","","","","0.0","2025-10-24","","提案作成済み","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 契約開始:StageName__c --","福井コンピュータースマート株式会社","0.0","","001RB00001VTqxrYAD","","","","","","0.0","2026-01-16","","契約開始","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","三越伊勢丹プロパティデザイン株式会社","528000.0","","001RB00001VTqxsYAD","","","","","","44000.0","","","決済手続/稟議中","2025-12-17","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続き中/稟議中:StageName__c --","株式会社住研川越 の取引","145200.0","","001RB00001VTqxtYAD","003RB00001NsVhuYAF","","","","","12100.0","","","決済手続き中/稟議中","2025-11-04","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","荏原環境プラント株式会社 の取引","2390000.0","","001RB00001VTqxuYAD","003RB00001NsVhvYAF","","2026-05-01","","","170000.0","","","決済手続/稟議中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","株式会社ホープハウスシステム の取引","0.0","","001RB00001VTqliYAD","003RB00001NsNceYAF","","","","","0.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: ニーズとのミスマッチ:LostReason__c --","株式会社ビヨンドボーダーズ の取引","0.0","","001RB00001VTqxvYAD","003RB00001NsVhwYAF","","","2026-02-25","ニーズとのミスマッチ","0.0","","","お打ち合わせセッティング完了","2026-02-25","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","株式会社brackets の取引","105600.0","","001RB00001VTqxwYAD","003RB00001NsWwlYAF","","","","","8800.0","","","お問い合わせ受領","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 内容の調整中:StageName__c --","株式会社エムアールビジネス の取引","0.0","","001RB00001VTqxxYAD","003RB00001NsVi3YAF","","","","","0.0","","","内容の調整中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 契約手続き中:StageName__c --","株式会社ホープハウスシステム","0.0","","001RB00001VTqliYAD","003RB00001NsNceYAF","","","","","0.0","","","契約手続き中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 意思決定構造の可視化:StageName__c --","株式会社店研創意","900000.0","","001RB00001VTqxyYAD","","","2026-04-01","","","75000.0","2025-12-17","","意思決定構造の可視化","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","株式会社FUNC DESIGN の取引","105600.0","","001RB00001VTqxzYAD","003RB00001NsWwmYAF","","","","","8800.0","","","お問い合わせ受領","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","株式会社サイバーエージェント の取引","316800.0","","001RB00001VTqy0YAD","003RB00001NsVi5YAF","","","","","26400.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","豊通ファシリティーズ株式会社 の取引","105600.0","","001RB00001VTqy1YAD","003RB00001NsWwnYAF","","","","","8800.0","","","導入意向の確認中","2026-01-05","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: トライアル中:StageName__c --","東急リバブル株式会社","1800000.0","","001RB00001VTqy2YAD","","","2026-04-01","","","150000.0","2026-01-14","","トライアル中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: サポート体制・実績不足:LostReason__c --","株式会社アルテ","1584000.0","","001RB00001VTqy3YAD","","","","2026-01-04","サポート体制・実績不足","132000.0","","","導入意向の確認中","2026-01-04","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","8175 STUDIO の取引","105600.0","","001RB00001VTqy4YAD","003RB00001NsVi6YAF","","2026-04-15","","","8800.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","株式会社日企設計","460800.0","","001RB00001VTqy6YAD","","","2026-02-20","","","38400.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","地盤ネット株式会社 の取引","422400.0","","001RB00001VTrtxYAD","003RB00001NsMP3YAN","","","","","35200.0","","","お問い合わせ受領","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 打ち合わせセッティング完了:StageName__c --","株式会社Lakke の取引","145200.0","","001RB00001VTqy7YAD","003RB00001NsWwpYAF","","","","","12100.0","","","打ち合わせセッティング完了","2025-11-10","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 打ち合わせセッティング完了:StageName__c --","株式会社ササキハウス の取引","145200.0","","001RB00001VTreSYAT","003RB00001NsWwqYAF","","","","","12100.0","","","打ち合わせセッティング完了","2025-11-24","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: アップセル仮説成立:StageName__c --","生和コーポレーション株式会社 Update","1800000.0","","001RB00001VTqmcYAD","","","","","","150000.0","","","アップセル仮説成立","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","群馬セキスイハイム株式会社","211200.0","","001RB00001VTrvkYAD","","","2026-03-01","","","17600.0","","","決済手続/稟議中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","石友ホーム株式会社 の取引","0.0","","001RB00001VTrdXYAT","003RB00001NsViZYAV","","","","","0.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","JR九州コンサルタンツ株式会社","105600.0","","001RB00001VTqnyYAD","003RB00001NsUI8YAN","","","","","8800.0","","","導入意向の確認中","2025-11-14","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","ハゼモト建設株式会社","726000.0","","001RB00001VTqyAYAT","003RB00001NsViCYAV","","","","","60500.0","","","社内検討中","2025-11-17","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","(株)ビ・ハウス","528000.0","","001RB00001VTqyTYAT","003RB00001NsWwyYAF","","","","","44000.0","2025-11-17","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","株式会社IAO竹田設計 の取引","0.0","","001RB00001VTr0JYAT","","","","","","0.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","イナバインターナショナル株式会社 の取引","900000.0","","001RB00001VTr0MYAT","003RB00001NsVidYAF","","","","","75000.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社THREE","211200.0","","001RB00001VTr0KYAT","003RB00001NsVibYAF","","","","","17600.0","","","決済手続/稟議中","2025-11-21","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","株式会社オフィスネット","211200.0","","001RB00001VTrFnYAL","","","","","","17600.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 予算不足(初期費用・移行コスト):LostReason__c --","株式会社エドケンハウス の取引","0.0","","001RB00001VTrFoYAL","","","","2026-03-02","予算不足(初期費用・移行コスト)","0.0","","","休眠","2026-03-02","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","株式会社スタジオ・ノア の取引","105600.0","","001RB00001VTrFpYAL","003RB00001NsWx3YAF","","","","","8800.0","","","お問い合わせ受領","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","株式会社アイリン の取引","211200.0","","001RB00001VTqnPYAT","003RB00001NsVigYAF","","","","","17600.0","","","お問い合わせ受領","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","三井住友建設 の取引","105600.0","","001RB00001VTqeXYAT","","","","","","8800.0","2026-03-17","","決済手続/稟議中","2026-03-24","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: トライアル中:StageName__c --","株式会社エサキホーム の取引","0.0","","001RB00001VTrFqYAL","003RB00001NsViiYAF","","","","","0.0","","","トライアル中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向表明:StageName__c --","株式会社ケン・プロパティマネジメント","145200.0","","001RB00001VTrGkYAL","","","","","","12100.0","","","導入意向表明","2025-11-28","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","株式会社エドケンハウス","105600.0","","001RB00001VTrFoYAL","","","","","","8800.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","創建ホーム株式会社","1008000.0","","001RB00001VTrm3YAD","","","2026-04-30","","","84000.0","2026-03-03","","決済手続/稟議中","2026-06-04","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向表明:StageName__c --","株式会社中村不動産開発","145200.0","","001RB00001VTrGlYAL","003RB00001NsVoeYAF","","","","","12100.0","","","導入意向表明","2025-12-08","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","オフィスコム株式会社","211200.0","","001RB00001VTrGnYAL","003RB00001NsWx6YAF","","2026-03-01","","","17600.0","2026-02-09","","導入意向の確認中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","株式会社丹青社","316800.0","","001RB00001VTr2tYAD","","","2026-07-01","","","26400.0","2025-12-16","","導入意向の確認中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","田中土建工業株式会社","844800.0","","001RB00001VTqnhYAD","","","","","","70400.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 課題の組織化（個人→組織）:StageName__c --","東急株式会社","0.0","","001RB00001VTrs0YAD","","","","","","0.0","","","課題の組織化（個人→組織）","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","株式会社竹中工務店","900000.0","","001RB00001VTrmaYAD","","","2026-07-01","","","75000.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: トライアル中:StageName__c --","大京穴吹不動産株式会社","1122000.0","","001RB00001VTrUmYAL","","","","","","93500.0","","","トライアル中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","信和不動産株式会社 の取引","2450000.0","","001RB00001VTrGoYAL","","","2026-06-01","","","175000.0","","","決済手続/稟議中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","株式会社ひなたや の取引","105600.0","","001RB00001VTrGqYAL","003RB00001NsVomYAF","","","","","8800.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 打ち合わせセッティング完了:StageName__c --","株式会社キムラタン の取引","7000.0","","001RB00001VTrUQYA1","","","","","","0.0","","","打ち合わせセッティング完了","2026-01-05","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","大東建託株式会社 流通設計部","3240000.0","","001RB00001VTruMYAT","","","2026-07-22","","","270000.0","2026-04-21","","導入意向の確認中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","前田建設工業株式会社","900000.0","","001RB00001VTrvVYAT","003RB00001NsLcHYAV","","","","","75000.0","","","決済手続/稟議中","2026-01-15","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 打ち合わせセッティング完了:StageName__c --","（株）えん道エステート の取引","0.0","","001RB00001VTqmIYAT","003RB00001NsWwQYAV","","","","","0.0","","","打ち合わせセッティング完了","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","柏井建設 株式会社","900000.0","","001RB00001VTrI5YAL","","","2026-03-05","","","75000.0","","","決済手続/稟議中","2026-03-05","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: 時期ずれ:LostReason__c --","株式会社エディオン","0.0","","001RB00001VTrURYA1","","","","2026-02-13","時期ずれ","0.0","","","トライアル中","2026-02-13","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社 トーケン","1056000.0","","001RB00001VTrHrYAL","003RB00001NsLbNYAV","","2026-03-01","","","88000.0","","","決済手続/稟議中","2026-02-27","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社紀伊國屋書店","480000.0","","001RB00001VTrUSYA1","","","2026-03-17","","","40000.0","2026-01-27","","決済手続/稟議中","2026-03-17","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","ヤマハ株式会社","0.0","","001RB00001VTrPrYAL","","","","","","0.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","コンチネンタルホーム株式会社","316800.0","","001RB00001VTqgHYAT","","","2026-03-16","","","26400.0","","","決済手続/稟議中","2026-03-16","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","京王建設株式会社 の取引","0.0","","001RB00001VTrUTYA1","003RB00001NsLbQYAV","","","","","0.0","","","お問い合わせ受領","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","テスト","0.0","","","","","","","","0.0","","","お問い合わせ受領","2025-12-25","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社アールシーコア","3350000.0","","","","","","","","250000.0","","","決済手続/稟議中","2026-01-16","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 導入意向の確認中:StageName__c --","株式会社REデザイン の取引","361200.0","","","","","2026-09-01","","","17600.0","","","導入意向の確認中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","株式会社長谷工コーポレーション","900000.0","","","","","","","","75000.0","","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","ナックハウスパートナー 株式会社","356400.0","","","","","","","","29700.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お打ち合わせセッティング完了:StageName__c --","ジェイアール東海コンサルタンツ株式会社 の取引","0.0","","","","","2026-03-30","","","0.0","","","お打ち合わせセッティング完了","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 初回打ち合わせ完了:StageName__c --","Metricon株式会社","0.0","","","","","","","","0.0","","","初回打ち合わせ完了","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","阪急阪神不動産","1360000.0","","","","","2026-06-01","","","105000.0","","","決済手続/稟議中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: トライアル中:StageName__c --","エスコンリビングサービス取引","3500.0","","","","","","","","0.0","","","トライアル中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 休眠:StageName__c --","YKK AP 株式会社","1800000.0","","","","","2026-05-01","","","150000.0","2026-04-15","","休眠","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","くらし研究室の取引","0.0","","","","","","","","0.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 決済手続/稟議中:StageName__c --","株式会社大伸社ディライト の取引","211200.0","","","","","2026-04-01","","","17600.0","","","決済手続/稟議中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:失注理由: 制限つき選択リスト項目の値が不適切: ニーズとのミスマッチ:LostReason__c --","株式会社 えん道エステート","0.0","","","","","","2026-03-16","ニーズとのミスマッチ","0.0","","","トライアル中","2026-03-16","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: 社内検討中:StageName__c --","京王建設株式会社","0.0","","","","","","","","0.0","","","社内検討中","","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","個人 の取引","0.0","","","","","","","","0.0","","","お問い合わせ受領","2025-07-07","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","公益財団法人・NPO等RIM系団体 の取引","5500.0","","","","","","","","0.0","","","お問い合わせ受領","2025-05-23","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","DEF BAUM の取引","5500.0","","","","","","","","0.0","","","お問い合わせ受領","2025-08-12","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","横松建設株式会社 等 の取引","8800.0","","","","","","","","0.0","","","お問い合わせ受領","2025-04-22","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","個人 の取引","0.0","","","","","","","","0.0","","","お問い合わせ受領","2025-09-05","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","IB設計 の取引","8800.0","","","","","","","","0.0","","","お問い合わせ受領","2025-03-02","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","株式会社ひかり工務店 の取引","0.0","","","","","","","","0.0","","","お問い合わせ受領","2025-06-24","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","個人 の取引","8800.0","","","","","","","","0.0","","","お問い合わせ受領","2025-04-04","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","個人 の取引","8800.0","","","","","","","","0.0","","","お問い合わせ受領","2025-02-19","","","",""
"","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:ステージ: 制限つき選択リスト項目の値が不適切: お問い合わせ受領:StageName__c --","秋好建築設計事務所 の取引","8800.0","","","","","","","","0.0","","","お問い合わせ受領","2025-02-27","","","",""
