"Name","ACV__c","ContractUpdate__c","Account__c","Contact__c","Description__c","ExpectedCloseDate__c","LostDate__c","LostReason__c","MRR__c","NextActivityDate__c","NextStep__c","StageName__c","StandardCloseDate__c","StandardProbability__c","StartDate__c","StandardStartDate__c","ExpectedDuration__c"
"東京ガスリノベーション株式会社","145200","月","","","","","","","12100","","","Prospecting","","","","",""
"笹木産業株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"ヒューリックプロパティソリューション株式会社","2450000","月","","","","2026-05-14","","","175000","","","ValueProposition","","","","",""
"株式会社田中建設 の取引","0","月","","","","","","","0","","","Qualification","","","","",""
"京阪電鉄不動産株式会社","105600","月","","","","","","","8800","2026-02-25","","Qualification","","","","",""
"株式会社久保建築設計 の取引","900000","月","","","","","","","75000","","","Qualification","","","","",""
"北斗工業エンヂニアリング　株式会社 の取引","0","月","","","","","","","0","","","Qualification","","","","",""
"東宝ハウス調布","726000","月","","","","","","","60500","","","Closed Won","2026-02-02","","","",""
"株式会社 未来建築工房 の取引","0","月","","","","","","","0","","","Qualification","","","","",""
"ジーク株式会社","900000","月","","","","","","","75000","","","Closed Won","2026-01-26","","","",""
"株式会社さくら総合地所","0","月","","","","","","","0","2026-04-23","","Prospecting","","","","",""
"株式会社田中建設","0","月","","","","","","","0","","","Prospecting","","","","",""
"亀飼遼太 様","0","月","","","","","","","0","","","Closed Lost","","","","",""
"(株)ビ・ハウス","0","月","","","","","","","0","","","Closed Lost","","","","",""
"Act Amuse Japan 株式会社","0","月","","","","","","","0","2026-06-01","","Prospecting","","","","",""
"realize の取引","0","月","","","","","","","0","","","Qualification","","","","",""
"Phantom株式会社","211200","月","","","","","","","17600","","","Closed Won","2026-01-29","","","",""
"梅林建設株式会社 の取引","900000","月","","","","2026-05-31","","","75000","","","Closed Won","2026-05-20","","","",""
"株式会社小林創建","105600","月","","","","","","","8800","","","Prospecting","","","","",""
"東建コーポレーション株式会社","211200","月","","","","","","","17600","","","Prospecting","","","","",""
"錢高組","316800","月","","","","2026-02-06","","","26400","","","Closed Won","2026-02-04","","","",""
"トヨタコニックプロ株式会社 の取引","1360000","月","","","","2026-05-01","","","105000","","","Negotiation","","","","",""
"株式会社おきなわアセットブリッジ","145200","月","","","","","","","12100","","","Prospecting","","","","",""
"相鉄不動産株式会社","1800000","月","","","","2026-05-27","","","150000","2026-03-17","","ValueProposition","","","","",""
"株式会社E・M・LUMBER","105600","月","","","","","","","8800","","","Closed Won","2026-02-09","","","",""
"株式会社小河原建設 の取引","105600","月","","","","2026-04-30","","","8800","","","Closed Lost","","","","",""
"ストレッチテント・カンパニー","105600","月","","","","2026-02-06","","","8800","","","Closed Won","2026-02-09","","","",""
"トヨタコニックプロ株式会社","528000","月","","","","","","","44000","","","Prospecting","","","","",""
"三井不動産レジデンシャルリース株式会社(ソリ推)のCS","1584000","月","","","","","","","132000","","","Prospecting","","","","",""
"錢高組","316800","月","","","","2026-02-06","","","26400","","","ValueProposition","","","","",""
"日鉄興和不動産株式会社（S)","2340000","月","","","","2026-03-31","","","195000","","","Prospecting","","","","",""
"株式会社B-PROJECT の取引 (B)","792000","月","","","","","2026-04-22","No response or other reason","66000","","","Closed Lost","2026-04-22","","","",""
"株式会社アールシーコア","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社フジタ(A)","900000","月","","","","","","","75000","","","ValueProposition","","","","",""
"株式会社石勝エクステリア の取引 (A)","1780000","月","","","","","","","140000","","","ValueProposition","","","","",""
"iFIND株式会社","1584000","月","","","","","","","132000","","","Closed Won","2025-04-30","","","",""
"iFIND株式会社 (アイリスグループ)","1584000","月","","","","","2026-04-21","No response or other reason","132000","","","Closed Lost","2026-04-21","","","",""
"東急リゾーツ&ステイ株式会社","1188000","月","","","","","","","99000","","","Closed Won","2024-11-12","","","",""
"東急リゾーツ&ステイ株式会社 (S)","1188000","月","","","","","","","99000","","","ValueProposition","","","","",""
"大東建託株式会社 流通設計部 (コピー)","180000","月","","","","2026-04-01","","","15000","","","Closed Won","2026-02-13","","","",""
"サンフロンティア不動産株式会社","900000","月","","","","","","","75000","","","ValueProposition","","","","",""
"大和財託株式会社(A)","1800000","月","","","","","","","150000","","","ValueProposition","","","","",""
"株式会社ルミネ","105600","月","","","","2026-04-15","","","8800","2026-02-15","","Closed Won","2026-04-13","","","",""
"株式会社夢のおてつだい","660000","月","","","","","","","55000","","","Closed Won","2026-02-19","","","",""
"株式会社久家設計事務所","105600","月","","","","","","","8800","","","Closed Won","2026-03-10","","","",""
"株式会社アースウィンド","105600","月","","","","2026-03-13","","","8800","","","ValueProposition","","","","",""
"福岡地所株式会社","105600","月","","","","","2026-03-12","Needs mismatch","8800","2026-02-25","","Closed Lost","2026-03-12","","","",""
"東邦レオ 株式会社","0","月","","","","2026-03-01","2026-03-05","Needs mismatch","0","","","Closed Lost","2026-03-05","","","",""
"株式会社サンケイビル","840000","月","","","","2026-03-11","","","70000","","","Closed Won","2026-03-23","","","",""
"47内装株式会社(B)","900000","月","","","","","","","75000","2026-05-31","","Closed Lost","","","","",""
"関西不動産販売株式会社","900000","月","","","","","2026-03-12","Budget shortage - initial or migration cost","75000","2026-02-26","","Closed Lost","2026-03-12","","","",""
"株式会社スタイルテック総合計画","900000","月","","","","2026-04-01","","","75000","","","Closed Won","2026-04-03","","","",""
"矢作建設工業株式会社(B)","900000","月","","","","","","","75000","","","Prospecting","","","","",""
"株式会社フロンティアコンサルティング","460000","月","","","","2026-03-31","","","30000","","","Applove","","","","",""
"株式会社建創社 の取引","0","月","","","","","","","0","","","Qualification","","","","",""
"三井不動産株式会社","1800000","月","","","","2026-04-01","2026-06-01","Needs mismatch","150000","2026-02-20","","Closed Lost","2026-06-01","","","",""
"NOD&W","105600","月","","","","2026-04-30","","","8800","","","Closed Lost","","","","",""
"明石建築設計事務所 の取引","105600","月","","","","2026-03-20","","","8800","","","Closed Lost","","","","",""
"三菱地所レジデンス　株式会社","576000","月","","","","2026-06-01","","","48000","","","Applove","","","","",""
"（株）トピアホーム","422400","月","","","","2026-07-01","","","35200","","","ValueProposition","","","","",""
"アイリスオーヤマ株式会社(S)","1080000","月","","","","","","","90000","","","Prospecting","","","","",""
"8Y8 の取引","316800","月","","","","2026-04-30","","","26400","","","Closed Lost","","","","",""
"前田建設工業 株式会社(S)","900000","月","","","","","2026-04-01","Support or track record concern","75000","","","Closed Lost","2026-04-01","","","",""
"CREATIVETREE","3500","月","","","","","2026-03-16","Customer concern unresolved","0","","","Closed Lost","2026-03-16","","","",""
"株式会社a-tech","316800","月","","","","2026-06-01","","","26400","","","ValueProposition","","","","",""
"株式会社コロワイド","900000","月","","","","","","","75000","","","Prospecting","","","","",""
"株式会社　渡辺工務店","105600","月","","","","2026-04-08","","","8800","","","ValueProposition","","","","",""
"有限会社　めかる設計","0","月","","","","","","","0","","","Prospecting","","","","",""
"マーケットクリエイティブ株式会社","105600","月","","","","2026-03-20","","","8800","","","Closed Lost","","","","",""
"株式会社ONE　HOUSE","105600","月","","","","2026-03-13","","","8800","","","Closed Lost","","","","",""
"苅田建設工業","0","月","","","","","","","0","","","Closed Lost","","","","",""
"株式会社宮工房","0","月","","","","","","","0","","","Closed Lost","","","","",""
"株式会社サンアイ岡本","0","月","","","","","","","0","2026-04-03","","Closed Lost","","","","",""
"柏井建設株式会社　建築設計部（B)","900000","月","","","","","","","75000","","","Prospecting","","","","",""
"株式会社アイ・キューブ","900000","月","","","","2026-04-01","","","75000","","","Prospecting","","","","",""
"花菱不動産株式会社","211200","月","","","","2026-03-20","","","17600","","","Closed Won","2026-03-13","","","",""
"株式会社　東日本朝日株式会社","105600","月","","","","2026-03-20","","","8800","","","Prospecting","","","","",""
"株式会社コンセプション","105600","月","","","","2026-03-06","","","8800","","","Closed Won","2026-03-06","","","",""
"オフィスナビ株式会社","105600","月","","","","2026-03-31","","","8800","","","Closed Won","2026-03-11","","","",""
"デザインスタジオ BOTH SIDES","0","月","","","","","","","0","","","Prospecting","","","","",""
"文化財保存活用計画株式会社","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社MYAT の取引","105600","月","","","","2026-03-26","","","8800","","","Closed Won","2026-05-13","","","",""
"株式会社WAKA","316800","月","","","","2026-04-15","","","26400","","","Qualification","","","","",""
"株式会社アーバンスペース","0","月","","","","","","","0","2026-04-01","","ValueProposition","","","","",""
"日本アセットアドバンス株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"野村不動産株式会社(S)","1800000","月","","","","","","","150000","","","Closed Lost","","","","",""
"株式会社WIZU","0","月","","","","","","","0","","","Prospecting","","","","",""
"森ビル株式会社","1800000","月","","","","2026-05-01","","","150000","","","ValueProposition","","","","",""
"近鉄不動産株式会社","3530000","月","","","","2026-04-01","","","265000","2026-03-12","","Closed Won","2026-04-10","","","",""
"FUJITA の取引","1680000","月","","","","2026-03-26","","","140000","","","Closed Won","2026-04-15","","","",""
"株式会社日本プロテック","0","月","","","","","","","0","","","Qualification","","","","",""
"AURLA","0","月","","","","","","","0","","","Qualification","","","","",""
"Egg design works","0","月","","","","","","","0","","","Qualification","","","","",""
"アーキエムズグループ株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"第一建設株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"軒軒設計一級建築士事務所","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社シータ","0","月","","","","","","","0","2026-03-27","","Qualification","","","","",""
"有限会社双建工業","316800","月","","","","2026-04-30","","","26400","2026-04-01","","Prospecting","","","","",""
"遠藤友羅","0","月","","","","","","","0","","","Qualification","","","","",""
"森ビル株式会社設計部","316800","月","","","","","2026-04-02","Needs mismatch","26400","","","Closed Lost","2026-04-02","","","",""
"LOLT","0","月","","","","","","","0","","","Qualification","","","","",""
"武田利佳","0","月","","","","","","","0","","","Qualification","","","","",""
"れん","0","月","","","","","","","0","","","Qualification","","","","",""
"ファブリックスアート","0","月","","","","","","","0","","","Qualification","","","","",""
"花十色","0","月","","","","","","","0","","","Qualification","","","","",""
"日本アセットアドバンス株式会社","145200","月","","","","","","","12100","","","Prospecting","","","","",""
"ＨＴリフォ株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"（株）リアルトハーツ","0","月","","","","","","","0","2026-03-16","","Qualification","","","","",""
"ろ","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社レイズコーポレーション","0","月","","","","","","","0","","","Qualification","","","","",""
"㈱エー・ディー・ウォール","0","月","","","","","","","0","","","Qualification","","","","",""
"相模湖basshouse","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社リビング住販","0","月","","","","","","","0","","","ValueProposition","","","","",""
"株式会社J.フロントプライムスペース","1800000","月","","","","2026-08-01","","","150000","","","Prospecting","","","","",""
"株式会社MUJI HOUSE","422400","月","","","","2026-05-01","","","35200","","","Negotiation","","","","",""
"東急建設株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"タマホーム株式会社","900000","月","","","","2026-04-30","","","75000","","","ValueProposition","","","","",""
"株式会社フケタ設計 の取引","105600","月","","","","2026-04-15","","","8800","","","Prospecting","","","","",""
"エムザジャパン株式会社","0","月","","","","","","","0","2026-03-19","","Qualification","","","","",""
"株式会社とくら建築設計社","105600","月","","","","","","","8800","","","Closed Won","2026-03-25","","","",""
"丹羽 洋文","105600","月","","","","2026-03-23","","","8800","","","Closed Won","2026-03-23","","","",""
"株式会社佐野修建築設計事務所","105600","月","","","","2026-03-20","","","8800","","","Closed Won","2026-03-23","","","",""
"&labo.","105600","月","","","","2026-03-11","","","8800","","","Closed Won","2026-03-23","","","",""
"H.Sakamoto","66000","月","","","","2026-03-23","","","5500","","","Closed Won","2026-03-23","","","",""
"悠 小林","105600","月","","","","2026-03-03","","","8800","","","Closed Won","2026-03-23","","","",""
"株式会社アークドラフト","211200","月","","","","","","","17600","2026-03-24","","Closed Won","2026-03-24","","","",""
"株式会社デザインアーク東京スペースソリューション第１営業所(S)","360000","月","","","","2026-03-12","","","30000","","","Prospecting","","","","",""
"株式会社フロンティアコンサルティング（S)","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社サン創芸","0","月","","","","","","","0","2026-03-25","","Prospecting","","","","",""
"株式会社京屋","0","月","","","","","","","0","2026-03-25","","Prospecting","","","","",""
"Soo-create","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社バトンデザイン","0","月","","","","2026-04-30","","","0","","","Prospecting","","","","",""
"三井住友建設株式会社","1800000","月","","","","2026-06-01","","","150000","","","ValueProposition","","","","",""
"株式会社ジョイフル本田","0","月","","","","","2026-04-01","Support or track record concern","0","","","Closed Lost","2026-04-01","","","",""
"愛知株式会社","105600","月","","","","2026-04-29","","","8800","2026-04-13","","Closed Won","2026-04-24","","","",""
"戸田建設株式会社","1260000","月","","","","","","","105000","","","Prospecting","","","","",""
"株式会社ジョイフル本田","900000","月","","","","","2026-03-30","Key person unreachable","75000","","","Closed Lost","2026-03-30","","","",""
"JOA株式会社","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社前田工務店","900000","月","","","","","","","75000","","","Closed Lost","","","","",""
"株式会社ジーク","900000","月","","","","","","","75000","","","Prospecting","","","","",""
"東急不動産ホールディングス株式会社/東急不動産株式会社（S)","3420000","月","","","","","2026-05-29","Support or track record concern","285000","","","Closed Lost","2026-05-29","","","",""
"株式会社サンテン・コーポレーション","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社ABC店舗","0","月","","","","","","","0","","","Qualification","","","","",""
"亜利 渡辺","105600","月","","","","","","","8800","","","Closed Won","2026-03-30","","","",""
"東京建物株式会社","2660000","月","","","","2026-08-01","","","205000","2026-05-15","","ValueProposition","","","","",""
"株式会社ecoaハウス","900000","月","","","","2026-04-01","","","75000","","","Closed Won","2026-04-09","","","",""
"株式会社フォーデック の取引","422400","月","","","","2026-04-30","","","35200","2026-04-13","","ValueProposition","","","","",""
"株式会社KOGA設計 の取引","316800","月","","","","","","","26400","2026-04-10","","Closed Lost","","","","",""
"株式会社建築工房時温","0","月","","","","","","","0","","","Qualification","","","","",""
"アルデ　アーキテクト＆アソシエイツ","105600","月","","","","2026-04-22","","","8800","","","ValueProposition","","","","",""
"アルスホーム株式会社","2700000","月","","","","","","","225000","","","ValueProposition","","","","",""
"小河建築設計事務所","211200","月","","","","2026-04-22","","","17600","","","ValueProposition","","","","",""
"株式会社蔵王建設","105600","月","","","","","","","8800","","","ValueProposition","","","","",""
"福島県インテリアコーディネーター協会","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社プラスチックアーキテクツ","0","月","","","","","","","0","","","Qualification","","","","",""
"建築事務所TESSEN","105600","月","","","","2026-04-08","","","8800","","","Closed Won","2026-04-10","","","",""
"大成建設ハウジング株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"立花産業株式会社","316800","月","","","","2026-05-01","","","26400","2026-04-13","","Prospecting","","","","",""
"大日本土木株式会社","0","月","","","","2026-05-31","","","0","2026-05-12","","Prospecting","","","","",""
"株式会社スタイルテック総合計画","900000","月","","","","","","","75000","","","Prospecting","","","","",""
"株式会社CPO設計","0","月","","","","","","","0","2026-04-03","","Qualification","","","","",""
"花岡徳秋建築設計事務所","0","月","","","","","","","0","2026-04-03","","Qualification","","","","",""
"株式会社スリースター","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社カプテリ","105600","月","","","","","","","8800","2026-04-13","","Closed Lost","","","","",""
"株式会社ワカタケ","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社ワンズ・レーニア","316800","月","","","","","","","26400","","","Closed Won","2026-04-22","","","",""
"ABC店舗 の取引","0","月","","","","","","","0","","","Closed Lost","","","","",""
"株式会社ココディレクション の取引","105600","月","","","","2026-04-28","","","8800","","","Closed Won","2026-05-11","","","",""
"伊藤喜商事株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社ABC店舗","0","月","","","","","","","0","","","Closed Lost","","","","",""
"西畑設計","105600","月","","","","2026-04-08","","","8800","","","Closed Won","2026-04-08","","","",""
"富田商事株式会社","900000","月","","","","","","","75000","","","Prospecting","","","","",""
"株式会社DAN都市デザイン","1440000","月","","","","2026-07-01","","","120000","","","Prospecting","","","","",""
"佑亮 西浦","105600","月","","","","","","","8800","","","Closed Won","2026-04-08","","","",""
"Leon TSE","66000","月","","","","","","","5500","","","Closed Won","2026-04-08","","","",""
"株式会社ドムコス","105600","月","","","","2026-04-29","","","8800","","","Closed Won","2026-04-09","","","",""
"株式会社龍美一級建築士事務所","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社フィールド・デザイン・アーキテクツ一級建築士事務所","105600","月","","","","2026-04-10","","","8800","","","Closed Won","2026-04-10","","","",""
"若築建設株式会社","0","月","","","","","","","0","","","Closed Won","2026-06-04","","","",""
"杉本興業株式会社","0","月","","","","","","","0","","","Closed Lost","","","","",""
"株式会社イーマックエンジニアリング","0","月","","","","","","","0","","","Qualification","","","","",""
"リストデベロップメント株式会社","0","月","","","","2026-05-31","","","0","2026-04-15","","Prospecting","","","","",""
"JBリアルエステート株式会社","145200","月","","","","","","","12100","","","Closed Won","2026-04-10","","","",""
"安井建築設計事務所","105600","月","","","","2026-04-15","","","8800","","","Closed Won","2026-04-22","","","",""
"株式会社良品計画","2140000","月","","","","2026-09-01","","","170000","","","Prospecting","","","","",""
"株式会社マルモリカンパニー","0","月","","","","","","","0","","","Qualification","","","","",""
"匠堂 合同会社","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社CABON","105600","月","","","","2026-04-15","","","8800","","","Closed Won","2026-04-15","","","",""
"株式会社 ヨネダ","900000","月","","","","2026-05-13","2026-06-01","Budget shortage - initial or migration cost","75000","","","Closed Lost","2026-06-01","","","",""
"四反田建築設計事務所","0","月","","","","","","","0","","","Qualification","","","","",""
"平倉建設株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社フジタ 建築本部 BIM推進統括部","0","月","","","","","","","0","2026-04-28","","Prospecting","","","","",""
"西日本旅客鉄道株式会社","105600","月","","","","2026-04-30","","","8800","","","Closed Won","2026-05-11","","","",""
"株式会社ecoaハウス","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社クラウドトップ","105600","月","","","","","","","8800","","","Qualification","","","","",""
"株式会社グリーンズ","0","月","","","","","","","0","","","Qualification","","","","",""
"近鉄不動産株式会社","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社コスモスイニシア","0","月","","","","","","","0","","","Prospecting","","","","",""
"センコー産業株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社ノットコーポレーション","900000","月","","","","2026-06-01","2026-05-26","No agreement on issue or setup","75000","","","Closed Lost","2026-05-26","","","",""
"株式会社クラウドトップ","105600","月","","","","2026-04-29","","","8800","","","Negotiation","","","","",""
"株式会社 秋山立花","105600","月","","","","2026-04-24","","","8800","","","Closed Won","2026-04-24","","","",""
"株式会社 秋山立花","900000","月","","","","2026-06-30","","","75000","","","ValueProposition","","","","",""
"TAKUYA RIKIMARU","105600","月","","","","","","","8800","","","Closed Won","2026-04-27","","","",""
"ノーマンズランドアソシエイツ1級建築士事務所","105600","月","","","","","","","8800","","","Qualification","","","","",""
"オゾン設計室","105600","月","","","","","","","8800","","","Qualification","","","","",""
"株式会社テイクアンドギヴ・ニーズ","528000","月","","","","2026-06-26","","","44000","","","ValueProposition","","","","",""
"K2デザインオフィス","105600","月","","","","","","","8800","2026-05-14","","Qualification","","","","",""
"株式会社ウィローズクラフト","316800","月","","","","","","","26400","","","Qualification","","","","",""
"株式会社三木組","211200","月","","","","","","","17600","","","Qualification","","","","",""
"エステック不動産投資顧問株式会社","316800","月","","","","","","","26400","","","Qualification","","","","",""
"株式会社フロンティアコンサルティング","264000","月","","","","2026-05-01","","","22000","","","Closed Won","2026-05-01","","","",""
"株式会社RYアーキテクツ","316800","月","","","","2026-05-28","","","26400","","","Prospecting","","","","",""
"株式会社モーラデザイン","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社ユニフィット","0","月","","","","","","","0","","","Qualification","","","","",""
"カモン・アンド・アソシエイツ","105600","月","","","","2026-05-31","","","8800","","","Closed Won","2026-05-11","","","",""
"有限会社芝田工務店","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社ｎｅｓｔ建築設計室","105600","月","","","","2026-06-04","","","8800","","","Qualification","","","","",""
"株式会社野村工務店","2059200","月","","","","2026-06-17","","","171600","2026-05-12","","ValueProposition","","","","",""
"株式会社デザインアーク","360000","月","","","","2026-05-12","","","30000","","","Closed Won","2026-05-26","","","",""
"ジーク株式会社（福岡）","900000","月","","","","2026-06-12","","","75000","","","ValueProposition","","","","",""
"OPERA","105600","月","","","","","","","8800","","","Closed Won","2026-05-12","","","",""
"JUNICHI HIGUCHI","105600","月","","","","","","","8800","","","Closed Won","2026-05-12","","","",""
"NTTファシリティーズエンジニアリング株式会社","1800000","月","","","","2026-07-01","","","150000","","","ValueProposition","","","","",""
"豊通ファシリティーズ株式会社","105600","月","","","","","","","8800","","","Closed Won","2026-05-18","","","",""
"グローアップ","105600","月","","","","2026-05-27","","","8800","","","Negotiation","","","","",""
"大建興産株式会社","105600","月","","","","2026-05-29","","","8800","","","ValueProposition","","","","",""
"有限会社芝田工務店","0","月","","","","2026-05-29","","","0","","","Prospecting","","","","",""
"エステック不動産投資顧問株式会社","0","月","","","","2026-06-30","","","0","","","Prospecting","","","","",""
"株式会社サンケイビル","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社フューチャースケッチ","0","月","","","","","","","0","","","Qualification","","","","",""
"ミサワホーム株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社AYNZ","0","月","","","","","","","0","","","Qualification","","","","",""
"MtoMカンパニー","105600","月","","","","2026-05-31","","","8800","2026-05-21","","ValueProposition","","","","",""
"株式会社東畑建築事務所","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社よねざわ工業","105600","月","","","","","","","8800","","","ValueProposition","","","","",""
"株式会社ニッセイ","0","月","","","","","","","0","","","Prospecting","","","","",""
"ｉ設計エンジニアリング","105600","月","","","","","","","8800","","","ValueProposition","","","","",""
"株式会社ヒトバデザイン","105600","月","","","","","","","8800","","","Closed Won","2026-05-25","","","",""
"KEISUKE NARISAWA","105600","月","","","","","","","8800","","","Closed Won","2026-05-25","","","",""
"RYO KAWAGUCHI","211200","月","","","","","","","17600","","","Closed Won","2026-05-25","","","",""
"株式会社YUASA","1800000","月","","","","","","","150000","","","ValueProposition","","","","",""
"株式会社NOW","316800","月","","","","2026-06-01","","","26400","","","ValueProposition","","","","",""
"株式会社エッグハウジング","105600","月","","","","2026-05-25","","","8800","","","Negotiation","","","","",""
"株式会社GEN INOUE","105600","月","","","","","","","8800","","","Closed Won","2026-05-26","","","",""
"株式会社デュアルタップ","0","月","","","","","","","0","2026-05-27","","Prospecting","","","","",""
"竹下和宏建築設計事務所","0","月","","","","","","","0","","","Prospecting","","","","",""
"fragment.archoffice","105600","月","","","","","","","8800","","","ValueProposition","","","","",""
"株式会社IGK","0","月","","","","","","","0","","","Prospecting","","","","",""
"三越伊勢丹プロパティデザイン株式会社","105600","月","","","","","","","8800","","","Closed Won","2026-05-29","","","",""
"NTTファシリティーズ","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社コスモスイニシア","180000","月","","","","2026-06-02","","","15000","","","Applove","","","","",""
"アーキデザイン株式会社","76800","月","","","","","","","6400","","","Negotiation","","","","",""
"清水建設株式会社福岡支店工事部","844800","月","","","","2026-06-25","","","70400","","","ValueProposition","","","","",""
"コクヨマーケティング株式会社","1800000","月","","","","2026-07-22","","","150000","2026-06-01","","ValueProposition","","","","",""
"近鉄不動産株式会社","360000","月","","","","","","","30000","","","Closed Won","2026-06-01","","","",""
"小島屋","105600","月","","","","","","","8800","","","Closed Won","2026-06-02","","","",""
"株式会社フューチャースケッチ","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社エリオクリエイト","105600","月","","","","","","","8800","","","Closed Won","2026-06-03","","","",""
"デザインアーク","0","月","","","","","","","0","","","ValueProposition","","","","",""
"Shiny’s Creative","0","月","","","","","","","0","","","Prospecting","","","","",""
"asazu design office","105600","月","","","","","","","8800","","","Qualification","","","","",""
"デザインアーク（大阪）","900000","月","","","","","","","75000","","","Prospecting","","","","",""
"株式会社ウチダシステムズ","0","月","","","","","","","0","","","Prospecting","","","","",""
"株式会社エルシード","105600","月","","","","","","","8800","","","Closed Won","2026-06-03","","","",""
"あおぞら工務店株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社MONO-GRAPH","0","月","","","","","","","0","2026-06-04","","Qualification","","","","",""
"株式会社グレート","0","月","","","","","","","0","2026-06-19","","Qualification","","","","",""
"株式会社インテリジェントフォース","0","月","","","","","","","0","2026-06-19","","Qualification","","","","",""
"株式会社TwinCompany","0","月","","","","","","","0","","","Qualification","","","","",""
"blanco graphics","0","月","","","","","","","0","","","Prospecting","","","","",""
"Tofu 設計事務所","0","月","","","","","","","0","","","Qualification","","","","",""
"カリコ株式会社","0","月","","","","","","","0","","","Qualification","","","","",""
"株式会社ローザ","132000","月","","","","2026-07-01","","","11000","","","Prospecting","","","","",""
